"name","lat","lng","population","toBernPerHMon","toBernPerHTue","toBernPerHWed","toBernPerHThu","toBernPerHFri","toBernPerHSat","toBernPerHSun","toBernAnyDay","toZhPerHMon","toZhPerHTue","toZhPerHWed","toZhPerHThu","toZhPerHFri","toZhPerHSat","toZhPerHSun","toZhAnyDay","avDurToZh","avDurToBern"
"Affoltern am Albis",47.278247,8.452152,11708,0,0,0,0,0,0,0,0,5.88486842105263,5.88486842105263,5.88486842105263,5.88486842105263,5.88486842105263,5.88486842105263,5.88486842105263,5.88486842105263,30.925953815261,NA
"Bonstetten",47.315466,8.46706,5326,0,0,0,0,0,0,0,0,4.63157894736842,4.63157894736842,4.63157894736842,4.63157894736842,4.63157894736842,4.63157894736842,4.63157894736842,4.63157894736842,24.2132352941176,NA
"Hedingen",47.298441,8.448976,3660,0,0,0,0,0,0,0,0,5.57894736842105,5.57894736842105,5.57894736842105,5.57894736842105,5.57894736842105,5.57894736842105,5.57894736842105,5.57894736842105,28.3604465709729,NA
"Knonau",47.225146,8.457307,2097,0,0,0,0,0,0,0,0,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,38.5257731958763,NA
"Mettmenstetten",47.243488,8.46367,4669,0,0,0,0,0,0,0,0,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,2.89473684210526,35.701030927835,NA
"Stallikon",47.326923,8.490105,3455,0,0,0,0,0,0,0,0,17.5789473684211,17.5789473684211,17.5789473684211,17.5789473684211,17.5789473684211,17.5789473684211,17.5789473684211,17.5789473684211,16.0653526970954,NA
"Wettswil am Albis",47.336532,8.472275,4920,0,0,0,0,0,0,0,0,15.7017543859649,15.7017543859649,15.7017543859649,15.7017543859649,15.7017543859649,15.7017543859649,15.7017543859649,15.7017543859649,16.9805936073059,NA
"Dachsen",47.66619,8.615053,1988,0,0,0,0,0,0,0,0,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,50,NA
"Flurlingen",47.686076,8.627235,1438,0,0,0,0,0,0,0,0,5.93927125506073,5.93927125506073,5.93927125506073,5.93927125506073,5.93927125506073,5.93927125506073,5.93927125506073,5.93927125506073,57.9389763779528,NA
"Andelfingen",47.595333,8.679434,2170,0,0,0,0,0,0,0,0,3.76470588235294,3.76470588235294,3.76470588235294,3.76470588235294,3.76470588235294,3.76470588235294,3.76470588235294,3.76470588235294,43.8,NA
"Henggart",47.563229,8.683573,2249,0,0,0,0,0,0,0,0,3.70588235294118,3.70588235294118,3.70588235294118,3.70588235294118,3.70588235294118,3.70588235294118,3.70588235294118,3.70588235294118,36,NA
"Laufen-Uhwiesen",47.674114,8.61434,1634,0,0,0,0,0,0,0,0,4.29721362229102,4.29721362229102,4.29721362229102,4.29721362229102,4.29721362229102,4.29721362229102,4.29721362229102,4.29721362229102,54.9776119402985,NA
"Marthalen",47.625775,8.650158,1956,0,0,0,0,0,0,0,0,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,1.82352941176471,45,NA
"Bassersdorf",47.443571,8.629913,11580,0,0,0,0,0,0,0,0,15.4210526315789,15.4210526315789,15.4210526315789,15.4210526315789,15.4210526315789,15.4210526315789,15.4210526315789,15.4210526315789,21.0392156862745,NA
"Bülach",47.517232,8.540712,19393,0,0,0,0,0,0,0,0,4.91021671826625,4.91021671826625,4.91021671826625,4.91021671826625,4.91021671826625,4.91021671826625,4.91021671826625,4.91021671826625,25.6308139534884,NA
"Dietlikon",47.422281,8.615598,7625,0,0,0,0,0,0,0,0,7.65942028985507,7.65942028985507,7.65942028985507,7.65942028985507,7.65942028985507,7.65942028985507,7.65942028985507,7.65942028985507,15.3787099327266,NA
"Eglisau",47.573321,8.523983,5025,0,0,0,0,0,0,0,0,10.8097165991903,10.8097165991903,10.8097165991903,10.8097165991903,10.8097165991903,10.8097165991903,10.8097165991903,10.8097165991903,36.2422702950547,NA
"Kloten",47.452513,8.586148,18452,3.52941176470588,3.58823529411765,3.41176470588235,3.64705882352941,3.47058823529412,5.23529411764706,5.52941176470588,4.05882352941176,45.7076858813701,45.7076858813701,45.7076858813701,45.7076858813701,45.7076858813701,45.7076858813701,45.7076858813701,45.7076858813701,20.9666442750348,78.9716656547258
"Opfikon",47.432267,8.577998,18617,2,2,2,2,2,4,6,2.85714285714286,196.758980785297,196.758980785297,196.758980785297,196.758980785297,196.758980785297,196.758980785297,196.758980785297,196.758980785297,19.1495996242767,79
"Rafz",47.611468,8.54023,4344,0,0,0,0,0,0,0,0,6.33603238866397,6.33603238866397,6.33603238866397,6.33603238866397,6.33603238866397,6.33603238866397,6.33603238866397,6.33603238866397,43.9987732570027,NA
"Wallisellen",47.41662,8.591999,15662,0,0,0,0,0,0,0,0,62.9519450800915,62.9519450800915,62.9519450800915,62.9519450800915,62.9519450800915,62.9519450800915,62.9519450800915,62.9519450800915,17.8991448547137,NA
"Buchs (ZH)",47.458611,8.440799,6294,0,0,0,0,0,0,0,0,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,22.9655172413793,NA
"Dänikon",47.445933,8.405715,1890,0,0,0,0,0,0,0,0,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,2.15789473684211,25.9655172413793,NA
"Dielsdorf",47.481037,8.454325,5921,0,0,0,0,0,0,0,0,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,5.55555555555556,26.3255813953488,NA
"Niederglatt",47.491843,8.503011,4768,0,0,0,0,0,0,0,0,7.44444444444444,7.44444444444444,7.44444444444444,7.44444444444444,7.44444444444444,7.44444444444444,7.44444444444444,7.44444444444444,24.8259441707718,NA
"Niederhasli",47.481295,8.485805,9100,0,0,0,0,0,0,0,0,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,22.8255813953488,NA
"Niederweningen",47.505042,8.378573,2853,0,0,0,0,0,0,0,0,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,2.77777777777778,33.8255813953488,NA
